,yoy_avg_revenue,yoy_avg_operating_income,yoy_avg_ebitda,yoy_avg_eps,quick_ratio,receivable_turnover_ratio,asset_turnover_ratio,debt_to_equity_ratio,icr,revenue,operating_income,operating_margin,ebitda,ebitda_margin,roe,cfo_to_earnings,per,shareholder_return,jensen_alpha,jensen_alpha_class,sortino_ratio,sortino_ratio_class,sector
삼천리자전거,-0.08487060757808837,-17.344002745695356,34.642283215246486,-1.359549856298229,0.48743903340611183,5.658105674555123,0.6815170693440256,0.6591965827368488,-3.0376738924779954,111147526951.0,-3644720753.6666665,-0.05681029644649734,-5366303903.0,-0.07027051483021639,-0.025986933089272204,0.3499437172325279,-6.844014553073416,0.34131287816794326,-0.045622201649835686,0,-4.98647783607567,0,discretionary
슈펙스비앤피,0.33492374498778277,-0.2382027864760671,19.377868025588825,-56.49762906780124,0.8262813121550002,4.2414600945595655,0.594108334150174,1.6538776449570738,72.16551589737448,75727309468.66667,-8146809799.333333,-0.09423723550747258,-15273139918.0,-0.18471590498725787,-0.28211649870309985,-53.10589575326089,-51.96637328675087,0.0,-0.26224629923632914,0,-13.232326519111488,0,discretionary
슈펙스비앤피,0.33492374498778277,-0.2382027864760671,19.377868025588825,-56.49762906780124,0.8262813121550002,4.2414600945595655,0.594108334150174,1.6538776449570738,72.16551589737448,75727309468.66667,-8146809799.333333,-0.09423723550747258,-15273139918.0,-0.18471590498725787,-0.28211649870309985,-53.10589575326089,-51.96637328675087,0.0,-0.26224629923632914,0,-13.232326519111488,0,staples
아가방컴퍼니,-0.0904136571434402,1.5556444490191732,3.0120845035156605,0.5737085438635883,2.7324490794733762,4.21318926631475,0.6402843036995098,0.28226455805142875,-132.9246957535258,134658873972.66667,-5577466875.666667,-0.04831721239589292,-6505337668.666667,-0.05577188698797054,-0.040662724629490304,1.144119459473391,-10.578893442622952,0.0,-0.01930542079352118,0,-2.352124511939646,0,staples
아가방컴퍼니,-0.0904136571434402,1.5556444490191732,3.0120845035156605,0.5737085438635883,2.7324490794733762,4.21318926631475,0.6402843036995098,0.28226455805142875,-132.9246957535258,134658873972.66667,-5577466875.666667,-0.04831721239589292,-6505337668.666667,-0.05577188698797054,-0.040662724629490304,1.144119459473391,-10.578893442622952,0.0,-0.01930542079352118,0,-2.352124511939646,0,discretionary
아이디스홀딩스,0.25508681284345586,0.37755825112155894,0.2529853197301095,0.1312991522038623,3.579392975449936,3.6898592489335975,0.6707480773828288,0.2746035888121679,118.52978233293152,470290296025.0,40522569275.0,0.08501240658431991,52145594292.333336,0.10924991427555812,0.06188050285698803,1.2605109861590522,6.085357797670405,0.3027096175513564,-0.055298266708668456,0,-0.4650691468387138,0,comm_services
아이디스홀딩스,0.25508681284345586,0.37755825112155894,0.2529853197301095,0.1312991522038623,3.579392975449936,3.6898592489335975,0.6707480773828288,0.2746035888121679,118.52978233293152,470290296025.0,40522569275.0,0.08501240658431991,52145594292.333336,0.10924991427555812,0.06188050285698803,1.2605109861590522,6.085357797670405,0.3027096175513564,-0.055298266708668456,0,-0.4650691468387138,0,industrials
윌비스,0.022997043545569747,-0.9628818143514372,0.7824381233076864,-2.618206398721105,0.6325176648104008,6.801756368726906,0.9219909550018585,1.365631768038438,3.3058763273551985,293170760669.3333,6853477011.0,0.022997727102144525,15692660106.0,0.052982853276888564,-0.005567154997856933,6.092813505011553,-11.839046199701937,0.0,0.01093184576281686,1,-0.8170412480312605,1,staples
윌비스,0.022997043545569747,-0.9628818143514372,0.7824381233076864,-2.618206398721105,0.6325176648104008,6.801756368726906,0.9219909550018585,1.365631768038438,3.3058763273551985,293170760669.3333,6853477011.0,0.022997727102144525,15692660106.0,0.052982853276888564,-0.005567154997856933,6.092813505011553,-11.839046199701937,0.0,0.01093184576281686,1,-0.8170412480312605,1,discretionary
제넨바이오,-0.14208788913951748,-0.5637621896721972,1.4896685549363644,1.8553057091901994,0.4245356523265685,4.991108449282013,0.19410006963826068,1.6073980748630412,-10.967107859815968,10613925026.333334,-922393194.3333334,-0.2838589242480413,-12053685479.0,-1.243256576189575,-0.5337137436654608,0.41248024451201887,-10.736701237872197,-0.0,0.11082075218514109,1,6.026930562672143,1,discretionary
제넨바이오,-0.14208788913951748,-0.5637621896721972,1.4896685549363644,1.8553057091901994,0.4245356523265685,4.991108449282013,0.19410006963826068,1.6073980748630412,-10.967107859815968,10613925026.333334,-922393194.3333334,-0.2838589242480413,-12053685479.0,-1.243256576189575,-0.5337137436654608,0.41248024451201887,-10.736701237872197,-0.0,0.11082075218514109,1,6.026930562672143,1,staples
제로투세븐,-0.06740284544612617,2.378579683795532,-0.8380147328817023,1.4007146254202483,0.8639590172144719,9.21998161004344,1.6270205384672831,1.6812354366902913,3.5851239502365893,185615734954.0,-4092888465.6666665,-0.02162186846266965,2170177580.6666665,0.013270869443094954,-0.30686927310884166,-0.22961142162762835,-14.825905772144925,1.1427137655746027,0.1318313969755678,1,8.572435728952897,1,staples
제로투세븐,-0.06740284544612617,2.378579683795532,-0.8380147328817023,1.4007146254202483,0.8639590172144719,9.21998161004344,1.6270205384672831,1.6812354366902913,3.5851239502365893,185615734954.0,-4092888465.6666665,-0.02162186846266965,2170177580.6666665,0.013270869443094954,-0.30686927310884166,-0.22961142162762835,-14.825905772144925,1.1427137655746027,0.1318313969755678,1,8.572435728952897,1,discretionary
파라다이스,0.11790746179283547,-0.4331638487657355,-5.996035337153708,,1.2641135481341002,56.81927404329036,0.3705823635300732,0.8609675588034799,15.831964517477756,977942061561.0,12747110858.333334,0.01816016195435419,67057807858.0,0.07093469357105671,-0.004655130224933297,-0.18745989029388585,-82.36045662706577,-0.09327643110521011,-0.007906262562154764,0,-1.9436391147705063,0,discretionary
파라다이스,0.11790746179283547,-0.4331638487657355,-5.996035337153708,,1.2641135481341002,56.81927404329036,0.3705823635300732,0.8609675588034799,15.831964517477756,977942061561.0,12747110858.333334,0.01816016195435419,67057807858.0,0.07093469357105671,-0.004655130224933297,-0.18745989029388585,-82.36045662706577,-0.09327643110521011,-0.007906262562154764,0,-1.9436391147705063,0,comm_services
한국가구,0.07766542687801847,0.16739501527270012,0.22607529953757774,-0.020923974604886767,2.2873692061525817,4.808752554201792,0.5061688625645494,0.25409707713375757,56.04797748992264,57500973289.333336,7674446975.0,0.13325885994804787,8006155132.333333,0.13913686595217858,0.06784622783988205,0.7783884258541175,8.569813453928774,0.23154903220480602,-0.0008774819054839442,0,0.5043566270066138,0,discretionary
한국가구,0.07766542687801847,0.16739501527270012,0.22607529953757774,-0.020923974604886767,2.2873692061525817,4.808752554201792,0.5061688625645494,0.25409707713375757,56.04797748992264,57500973289.333336,7674446975.0,0.13325885994804787,8006155132.333333,0.13913686595217858,0.06784622783988205,0.7783884258541175,8.569813453928774,0.23154903220480602,-0.0008774819054839442,0,0.5043566270066138,0,staples
한국화장품,0.15556175551474147,-1.2102789117963448,-0.6046406785756664,-1.7363743929522297,1.250829716969221,6.3971594305094115,1.586690221948757,0.7530813182785683,,155297799371.66666,5270595413.0,0.033081679394386866,2582095747.0,0.014804143171375891,0.061209146660889814,-0.2054594505749643,-30.637711720291136,0.0,0.009379604697052901,1,-0.539078247505199,1,discretionary
한국화장품,0.15556175551474147,-1.2102789117963448,-0.6046406785756664,-1.7363743929522297,1.250829716969221,6.3971594305094115,1.586690221948757,0.7530813182785683,,155297799371.66666,5270595413.0,0.033081679394386866,2582095747.0,0.014804143171375891,0.061209146660889814,-0.2054594505749643,-30.637711720291136,0.0,0.009379604697052901,1,-0.539078247505199,1,staples
한샘,0.1707604320092749,0.12809017245254734,0.7788702807534138,0.1907962094567861,1.173424723323486,15.990025242338078,2.1053285349273385,0.7398556874499231,44.3053095495577,1975174979986.6667,118723981355.33333,0.05989837198191006,90203136755.66667,0.04599243991417299,0.19369389532929074,0.8687496316798399,21.114508341284296,0.19474654005143374,-0.027072636075357044,0,0.651303563384634,0,discretionary
한샘,0.1707604320092749,0.12809017245254734,0.7788702807534138,0.1907962094567861,1.173424723323486,15.990025242338078,2.1053285349273385,0.7398556874499231,44.3053095495577,1975174979986.6667,118723981355.33333,0.05989837198191006,90203136755.66667,0.04599243991417299,0.19369389532929074,0.8687496316798399,21.114508341284296,0.19474654005143374,-0.027072636075357044,0,0.651303563384634,0,staples
휠라홀딩스,0.3623040902386737,2.841226876131096,-0.5685646699960076,-0.8143589077568911,0.8027518081471922,5.060790780989513,0.6672361106554104,1.4290875196712287,5.592794383914352,2150698247370.3333,195468597536.66666,0.07301510292611342,141112392693.0,0.11073362758893039,0.15531522660012395,0.5243651851976127,14.107660043687932,0.016671592976524315,0.020734983318650917,1,2.148133742782761,1,discretionary
휠라홀딩스,0.3623040902386737,2.841226876131096,-0.5685646699960076,-0.8143589077568911,0.8027518081471922,5.060790780989513,0.6672361106554104,1.4290875196712287,5.592794383914352,2150698247370.3333,195468597536.66666,0.07301510292611342,141112392693.0,0.11073362758893039,0.15531522660012395,0.5243651851976127,14.107660043687932,0.016671592976524315,0.020734983318650917,1,2.148133742782761,1,staples
