target_shift1,date,close,close_mv10,close_mv20,close_mv5,dayofmonth_freq_cos,dayofmonth_freq_sin,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,mfi_signal,obv,obv_ema,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,volume,volume_mv10,volume_mv20,volume_mv5,weekday,weeknum
15450.0,2021-06-23,15700.0,14365.0,14380.0,14690.0,-0.9527751227228102,0.303676745109885,60.90545968112745,86.95652173913044,668337.0,99400.9,44819.65,245820.2,295764.0,-25325.4,-21373.95,19746.4,3276.0,3257.8,3239.3,3262.8,66.59363533157068,buy,73898606.0,68805463.06290422,42884612800.0,13604792285.0,12808186985.0,21164625660.0,2731504.0,917787.1,873639.1,1404492.6,2,4
15000.0,2021-06-24,15450.0,14525.0,14387.5,14880.0,-0.9964614941175755,0.08405052492976567,63.936973120751624,70.0,-177753.0,88904.8,29298.6,204241.8,111249.0,-13431.7,-16608.45,46544.2,3286.0,3263.9,3245.3,3267.0,51.293760172950975,buy,72564530.0,69056077.39753468,20611474200.0,14982239995.0,12916673300.0,24238034000.0,1334076.0,1001830.1,880075.75,1598970.8,3,4
15300.0,2021-06-25,15000.0,14625.0,14405.0,15000.0,-0.9901811253364242,-0.13979033953565123,59.957982080501075,52.0,-121534.0,80614.5,33881.15,180612.4,-84092.0,-15418.9,-24038.85,30391.2,3303.0,3269.3,3251.0,3274.0,43.4651808909107,sell,71715149.0,69233355.35544877,12740715000.0,15761870695.0,12704146027.5,25946870120.0,849381.0,1051451.0,864554.15,1710561.8,4,4
15050.0,2021-06-28,15300.0,14765.0,14447.5,15260.0,-0.6869969260353053,-0.7266603220336454,61.30532138700071,64.0,-120089.0,71106.0,26278.65,145173.2,-42027.0,-4315.0,-25792.55,52362.0,3302.0,3274.3,3255.9,3286.2,36.90089556176905,sell,72543196.0,69454018.97041605,12669119100.0,16314863315.0,12248291622.5,26752948340.0,828047.0,1082894.6,830571.7,1752760.8,0,4
15500.0,2021-06-29,15050.0,14850.0,14490.0,15300.0,-0.5080753452472114,-0.8613126282320066,58.870214258000466,54.0,-50364.0,69488.5,27591.15,39719.4,-39344.0,4459.5,-24117.55,48310.0,3287.0,3277.1,3259.15,3290.8,36.15420431550347,sell,72058499.0,69627656.53348154,7294689850.0,16355513020.0,12204802385.0,19240122190.0,484697.0,1082855.9,826058.4,1245541.0,1,5
15300.0,2021-06-30,15500.0,14975.0,14567.5,15260.0,-0.3036767451097277,-0.9527751227228602,63.24680950533364,72.0,81395.0,84075.6,30579.35,-77669.0,51143.0,9566.1,-18069.7,-614.2,3297.0,3278.9,3262.8,3295.0,36.063593939294506,sell,72902488.0,69845985.15750307,13081829500.0,17222095595.0,12420890365.0,13279565530.0,843989.0,1136265.3,836859.75,868038.0,2,5
15000.0,2021-07-01,15300.0,15055.0,14600.0,15230.0,-0.0840505249296011,-0.9964614941175893,63.49787300355575,64.0,-105091.0,70552.6,21411.9,-63136.6,21412.0,13981.3,-19425.65,-18581.6,3282.0,3280.6,3264.55,3294.2,41.36258573856372,sell,72419337.0,70017546.73341481,7392210300.0,17436873375.0,12050037140.0,10635712750.0,483151.0,1148411.9,810473.7,697853.0,3,1
15450.0,2021-07-02,15000.0,15115.0,14627.5,15230.0,0.13979033953581477,-0.9901811253364011,58.998582002370505,50.0,-43591.0,66532.2,21803.5,-47548.0,-43149.0,9999.1,-22294.6,-10393.0,3282.0,3282.0,3266.65,3290.0,37.55643069135063,sell,71455246.0,70113395.84701672,14461365000.0,18463356435.0,12509512825.0,10979842750.0,964091.0,1215678.4,840436.55,720795.0,4,1
15100.0,2021-07-05,15450.0,15260.0,14675.0,15260.0,0.7266603220337589,-0.6869969260351854,61.55461022380255,66.66666666666666,-67896.0,54031.9,19918.5,-37109.4,133567.0,38543.9,-16091.95,24725.8,3293.0,3287.2,3268.7,3288.2,43.40669284971216,sell,72761176.0,70289918.81395662,20176618500.0,19617145485.0,13202507650.0,12481342630.0,1305930.0,1284566.2,883951.25,816371.6,0,1
14950.0,2021-07-06,15100.0,15285.0,14732.5,15270.0,0.8613126282320905,-0.5080753452470692,58.0734438529054,51.11111111111111,-83744.0,-2033.0,16916.05,-43785.4,-163922.0,24060.1,-21227.5,-189.8,3305.0,3291.3,3271.55,3291.8,49.663427000682375,sell,72138020.0,70413128.3544541,9409655600.0,16072228985.0,13140871167.5,12904335780.0,623156.0,1044802.2,876964.3,844063.4,1,1
